;Date;canyon;detector
539;05/06/2017;Arugot;proximity loggers
540;08/06/2017;Arugot;proximity loggers
541;08/06/2017;Arugot;proximity loggers
542;08/06/2017;Arugot;proximity loggers
543;08/06/2017;Arugot;proximity loggers
544;08/06/2017;Arugot;proximity loggers
545;09/06/2017;Arugot;proximity loggers
546;10/06/2017;Arugot;proximity loggers
547;10/06/2017;Arugot;proximity loggers
548;14/06/2017;Arugot;proximity loggers
549;14/06/2017;Arugot;proximity loggers
550;15/06/2017;Arugot;proximity loggers
551;16/06/2017;Arugot;proximity loggers
552;17/06/2017;Arugot;proximity loggers
553;20/06/2017;Arugot;proximity loggers
554;20/06/2017;Arugot;proximity loggers
555;20/06/2017;Arugot;proximity loggers
556;20/06/2017;Arugot;proximity loggers
557;20/06/2017;Arugot;proximity loggers
558;20/06/2017;Arugot;proximity loggers
559;20/06/2017;Arugot;proximity loggers
560;20/06/2017;Arugot;proximity loggers
561;22/06/2017;Arugot;proximity loggers
562;22/06/2017;Arugot;proximity loggers
563;25/06/2017;Arugot;proximity loggers
564;26/06/2017;Arugot;proximity loggers
565;28/06/2017;Arugot;proximity loggers
566;30/06/2017;Arugot;proximity loggers
567;30/06/2017;Arugot;proximity loggers
568;30/06/2017;Arugot;proximity loggers
569;30/06/2017;Arugot;proximity loggers
570;01/07/2017;Arugot;proximity loggers
571;01/07/2017;Arugot;proximity loggers
572;01/07/2017;Arugot;proximity loggers
573;02/07/2017;Arugot;proximity loggers
574;02/07/2017;Arugot;proximity loggers
575;02/07/2017;Arugot;proximity loggers
576;02/07/2017;Arugot;proximity loggers
577;02/07/2017;Arugot;proximity loggers
578;03/07/2017;Arugot;proximity loggers
579;04/07/2017;Arugot;proximity loggers
580;04/07/2017;Arugot;proximity loggers
581;04/07/2017;Arugot;proximity loggers
582;08/07/2017;Arugot;proximity loggers
583;08/07/2017;Arugot;proximity loggers
584;08/07/2017;Arugot;proximity loggers
585;08/07/2017;Arugot;proximity loggers
586;08/07/2017;Arugot;proximity loggers
587;08/07/2017;Arugot;proximity loggers
588;08/07/2017;Arugot;proximity loggers
589;08/07/2017;Arugot;proximity loggers
590;08/07/2017;Arugot;proximity loggers
591;08/07/2017;Arugot;proximity loggers
592;08/07/2017;Arugot;proximity loggers
593;09/07/2017;Arugot;proximity loggers
594;09/07/2017;Arugot;proximity loggers
595;09/07/2017;Arugot;proximity loggers
596;09/07/2017;Arugot;proximity loggers
597;09/07/2017;Arugot;proximity loggers
598;09/07/2017;Arugot;proximity loggers
599;09/07/2017;Arugot;proximity loggers
600;09/07/2017;Arugot;proximity loggers
601;09/07/2017;Arugot;proximity loggers
602;09/07/2017;Arugot;proximity loggers
603;09/07/2017;Arugot;proximity loggers
604;10/07/2017;Arugot;proximity loggers
605;10/07/2017;Arugot;proximity loggers
606;10/07/2017;Arugot;proximity loggers
607;10/07/2017;Arugot;proximity loggers
608;10/07/2017;Arugot;proximity loggers
609;10/07/2017;Arugot;proximity loggers
610;10/07/2017;Arugot;proximity loggers
611;10/07/2017;Arugot;proximity loggers
612;10/07/2017;Arugot;proximity loggers
613;10/07/2017;Arugot;proximity loggers
614;10/07/2017;Arugot;proximity loggers
615;11/07/2017;Arugot;proximity loggers
616;15/07/2017;Arugot;proximity loggers
617;15/07/2017;Arugot;proximity loggers
618;15/07/2017;Arugot;proximity loggers
619;15/07/2017;Arugot;proximity loggers
620;15/07/2017;Arugot;proximity loggers
621;15/07/2017;Arugot;proximity loggers
622;16/07/2017;Arugot;proximity loggers
623;16/07/2017;Arugot;proximity loggers
624;16/07/2017;Arugot;proximity loggers
625;17/07/2017;Arugot;proximity loggers
626;17/07/2017;Arugot;proximity loggers
627;17/07/2017;Arugot;proximity loggers
628;17/07/2017;Arugot;proximity loggers
629;17/07/2017;Arugot;proximity loggers
630;18/07/2017;Arugot;proximity loggers
631;18/07/2017;Arugot;proximity loggers
